id,domain,model,method,question,gold,answer,confidence_raw,confidence,correct,parse_success,raw_response
mgsm_ja_001,math,claude-sonnet-4-6,ling_1s,ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？,18,18,,,1,0,回答: 18\n確信度: ほぼ確実
mgsm_ja_002,math,claude-sonnet-4-6,ling_1s,ローブを作成するには、青色の繊維を2巻分、白色の繊維をその半分用いる必要があります。全体で何巻必要ですか？,3,3,,,1,0,回答: 3\n確信度: ほぼ確実
mgsm_ja_003,math,claude-sonnet-4-6,ling_1s,ジョッシュは不動産の売買に挑戦してみることにしました。8万ドルで家を購入し、5万ドルかけて修繕しました。その結果、家の価格は150%分増えました。ジョッシュの利益はいくらでしょうか？,70000,70000,,,1,0,回答: 70000\n確信度: かなり自信がある
mgsm_ja_004,math,claude-sonnet-4-6,ling_1s,ジェイムズは週に3回、毎回3本のスプリントを走ることに決めました。スプリントごとに60メートル走ります。ジェイムズは1週間で何メートル走るでしょうか？,540,540,,,1,0,回答: 540\n確信度: ほぼ確実
mgsm_ja_005,math,claude-sonnet-4-6,ling_1s,毎日、ウェンディは飼っている鶏に対して、健康維持のため、種、ミールワーム、野菜を含む混合試料を3カップ分与えています。鶏への餌は3回に分けて与えています。朝、鶏全体に対して15カップ分の餌を与えます。午後、さらに25カップ分の餌を与えます。仮にウェンディの鶏の総数が20羽だった場合、3回目の餌やりでは何カップ分与える必要があるでしょうか？,20,20,,,1,0,回答: 20\n確信度: ほぼ確実
mgsm_ja_006,math,claude-sonnet-4-6,ling_1s,カイラーは新しいアパート用にグラスを買いに店に出かけました。グラスは1つあたり5ドルかかりますが、1つ買うと2つ目は本来の60%の価格で買えます。カイラーはグラスを16個買おうとしています。総額はいくらになるでしょうか？,64,[計算します],,,0,0,回答: [計算します]\n\n8セット（1個通常価格+1個割引価格）×(5 + 5×0.6) = 8 × (5 + 3) = 8 × 8 = 64\n\n回答: 64\n確信度: ほぼ確実
mgsm_ja_007,math,claude-sonnet-4-6,ling_1s,トゥルーズはチャールストンに比べ2倍の数の羊を飼っています。チャールストンはシアトルに比べ4倍の数の羊を飼っています。シアトルが飼っている羊の数が20頭だったとしたら、トゥルーズ、チャールストン、シアトルが飼っている羊の総数は何頭でしょうか？,260,260,,,1,0,回答: 260\n確信度: ほぼ確実
mgsm_ja_008,math,claude-sonnet-4-6,ling_1s,カーラは200ギガバイトのファイルをダウンロードしダウンロードしようとしています。通常であれば1分あたり2ギガバイトの速度でダウンロードが可能なのですが、ダウンロードが40%進んだところで、ウィンドウズがアップデートのインストールのため20分かけて再起動してしまいます。その後、カーラは最初からダウンロードをし直すことになりました。ファイルのダウンロードにはどれほどの時間がかかりますか？,160,150,,,0,0,回答: 150\n確信度: ほぼ確実
mgsm_ja_009,math,claude-sonnet-4-6,ling_1s,ジョンは時速60マイルで3時間車を運転した後に、自宅に非常に大事なものを忘れたことに気づいたため引き返します。4時間以内に自宅に戻ろうとしますが、最初の2時間は大渋滞で動けません。次の30分間を時速30マイルで運転し、その後時速80マイルで自宅に向かいました。4時間が経過したタイミングで、ジョンは自宅から何マイル離れていることになりますか？,45,45,,,1,0,解いていきます。\n\n**往路:**\n- 時速60マイル × 3時間 = 180マイル（自宅から180マイル地点）\n\n**復路（4時間以内に自宅へ）:**\n- 最初の2時間：大渋滞で動けない → 180マイル地点のまま\n- 次の30分：時速30マイル × 0.5時間 = 15マイル進む → 180 - 15 = 165マイル地点\n- 残り時間：4時間 - 2時間 - 0.5時間 = 1.5時間\n- 時速80マイル × 1.5時間 = 120マイル進む → 165 - 120 = 45マイル地点\n\n4時間経過時点で、自宅から45マイル離れている。\n\n回答: 45\n確信度: ほぼ確実
mgsm_ja_010,math,claude-sonnet-4-6,ling_1s,エライザの時給は、週の最初の40時間は、10ドルです。残業代は通常の1.2倍の給料が支払われます。エライザが今週45時間働いたとしたら、彼女が手にできる給料はいくらでしょうか？,460,460,,,1,0,回答: 460\n確信度: ほぼ確実
